date,value,medicine,medicine_id,is_holiday,competitor_price
1/1/2021,100.9934283,bench Atlantis 100ml,204,1,93.63502971
1/2/2021,103.8307589,Herbench So in love 50ml,3,0,237.6785766
1/3/2021,106.5662258,Sunsilk smooth&mgn 15ml,67,0,182.9984855
1/4/2021,105.8096647,Bigen B brown black,162,0,149.664621
1/5/2021,98.15428496,Hydrite apple,13,0,39.00466011
1/6/2021,95.64671718,Tiki tiki 60ml,124,0,38.99863008
1/7/2021,100.4362644,Bigen B brown black,162,0,14.52090304
1/8/2021,102.9189256,RDL kalamansi 75ml,52,0,216.5440364
1/9/2021,104.5509686,Pharmaton essential,99,0,150.2787529
1/10/2021,107.7368167,Betadine wound sol 7.5ml,158,0,177.0181444
1/11/2021,103.2154801,Eskinol papaya 75ml,43,0,5.146123574
1/12/2021,99.06735077,Saridone,69,0,242.477463
1/13/2021,97.97228839,young wet fantasy 50ml,203,0,208.1106602
1/14/2021,94.82145217,care diaper adult 8's medium,83,0,53.08477767
1/15/2021,99.30084347,Enervon sugar coated,175,0,45.4562418
1/16/2021,105.7280633,Eskinol papaya 75ml,43,0,45.85112746
1/17/2021,105.9845034,Dynatussin 60ml,170,0,76.06056074
1/18/2021,106.1246788,Tiki tiki 60ml,124,0,131.1891079
1/19/2021,99.53168301,Master oil control clear 135ml,81,0,107.9862547
1/20/2021,96.0073838,Eskinol derma C 225ml,180,0,72.80728505
1/21/2021,102.9172998,Centrum silver,84,0,152.9632237
1/22/2021,103.6311358,Arcoxia 120mg,47,0,34.87346516
1/23/2021,108.313383,RDL kalamansi 150ml,133,0,73.03616213
1/24/2021,106.4796975,Herbench So in love 100ml,149,0,91.59046082
1/25/2021,105.7194499,Sunsilk smooth&mgn 15ml,67,0,114.0174961
1/26/2021,102.8742759,young garden 50ml,154,0,196.2939903
1/27/2021,97.82703909,Serc 8mg,1,0,49.91844554
1/28/2021,102.0264385,Eye mo red,150,0,128.5586096
1/29/2021,104.1621283,young wet fantasy 50ml,203,0,148.1036422
1/30/2021,108.8670078,Risek 40mg,32,0,11.61260318
1/31/2021,109.3888779,Juicy sweet delight (red)125ml,112,0,151.886213
2/1/2021,111.7665771,Hydrite plain,11,0,42.63103092
2/2/2021,103.869632,Eskinol papaya 75ml,43,0,16.26289825
2/3/2021,99.24787591,J&J strong&healthy 100ml,147,0,237.2213843
2/4/2021,104.1441677,bench eight 75ml,20,0,241.4080083
2/5/2021,104.1352089,Himox 250mg 60ml,199,0,202.099337
2/6/2021,111.0707626,RDL plain 150ml,209,0,76.15344229
2/7/2021,107.8644379,Xuric 40mg,132,0,24.4180285
2/8/2021,106.5856836,RDL kalamansi 75ml,52,0,171.0582566
2/9/2021,105.4586361,Centrum advance,94,1,110.0381234
2/10/2021,103.996478,RDL plain 150ml,209,0,30.50955871
