ds,y,medicine_name,price_per_unit,marketing_spend,competitor_price,promotion_flag,is_holiday,description,medicine_id
2022-01-05,161,ACETAZOLAMIDE,23.95 ,18615.00 ,11.17,1,1,250MG TABLET,678023
2022-01-05,22,ACETYLCYSTEINE,16.17 ,12030.00 ,7.04,0,1,600MG TABLET,489074
2022-01-09,223,ACICLOVIR,6.54 ,4620.00 ,45.25,0,1,400 MG TABLET,187688
2022-01-09,16,AMIKACIN,31.43 ,9750.00 ,21.47,0,0,100MG/2ML VIAL,777576
2022-01-09,263,ALL-IN-ONE ADMIXTURES,35.01 ,19556.00 ,5.01,1,0,"1,400 KCAL",881744
2022-01-16,64,ALLOPURINOL,39.75 ,17086.00 ,5.89,0,0,100MG TABLET,791246
2022-01-16,42,AMOXICILLIN,33.83 ,11283.00 ,20.95,1,0,500 MG CAPSULE,759303
2022-01-21,259,ARIPIPRAZOLE,34.54 ,1676.00 ,20.14,0,1,15MG TABLET,756789
2022-01-21,158,ASCORBIC ACID,8.78 ,11117.00 ,6.72,1,0,"100MG/5ML, 60ML SYRUP",721058
2022-01-22,110,AZITHROMYCIN,22.14 ,2012.00 ,29.46,0,1,500 MG VIAL,320451
2022-01-27,123,ACETAZOLAMIDE,18.88 ,19577.00 ,10.57,0,0,250MG TABLET,678023
2022-01-30,197,ACETYLCYSTEINE,37.04 ,7023.00 ,19.57,0,1,600MG TABLET,489074
2022-01-30,110,ACICLOVIR,43.71 ,19555.00 ,12.77,0,1,400 MG TABLET,187688
2022-02-01,277,AMIKACIN,31.23 ,11168.00 ,35.73,0,1,100MG/2ML VIAL,777576
2022-02-02,173,ALL-IN-ONE ADMIXTURES,16.76 ,11802.00 ,17.04,1,0,"1,400 KCAL",881744
2022-02-04,188,ALLOPURINOL,48.83 ,13491.00 ,23.18,1,0,100MG TABLET,791246
2022-02-05,67,AMOXICILLIN,32.85 ,14802.00 ,46.38,1,1,500 MG CAPSULE,759303
2022-02-06,96,ARIPIPRAZOLE,37.75 ,13583.00 ,39.70,1,0,15MG TABLET,756789
2022-02-12,168,ASCORBIC ACID,9.32 ,17998.00 ,6.12,1,0,"100MG/5ML, 60ML SYRUP",721058
2022-02-13,36,AZITHROMYCIN,20.39 ,19916.00 ,15.65,1,0,500 MG VIAL,320451
2022-02-13,63,ACETAZOLAMIDE,20.63 ,6283.00 ,23.69,1,1,250MG TABLET,678023
2022-02-13,273,ACETYLCYSTEINE,46.36 ,17749.00 ,11.37,0,0,600MG TABLET,489074
2022-02-17,252,ACICLOVIR,43.13 ,19411.00 ,29.13,1,0,400 MG TABLET,187688
2022-02-20,196,AMIKACIN,18.06 ,16057.00 ,31.95,1,1,100MG/2ML VIAL,777576
2022-02-20,58,ALL-IN-ONE ADMIXTURES,26.31 ,7455.00 ,31.91,0,0,"1,400 KCAL",881744
2022-03-02,77,ALLOPURINOL,38.15 ,9838.00 ,32.69,0,1,100MG TABLET,791246
2022-03-05,121,AMOXICILLIN,14.83 ,16704.00 ,34.38,1,1,500 MG CAPSULE,759303
2022-03-06,75,ARIPIPRAZOLE,30.76 ,8410.00 ,31.44,0,1,15MG TABLET,756789
2022-03-06,175,ASCORBIC ACID,48.17 ,16970.00 ,17.57,0,1,"100MG/5ML, 60ML SYRUP",721058
2022-03-11,179,AZITHROMYCIN,31.03 ,10311.00 ,37.17,0,0,500 MG VIAL,320451
2022-03-11,182,ACETAZOLAMIDE,7.18 ,2821.00 ,32.09,1,1,250MG TABLET,678023
2022-03-12,12,ACETYLCYSTEINE,46.64 ,5329.00 ,39.22,1,1,600MG TABLET,489074
2022-03-12,109,ACICLOVIR,29.34 ,7083.00 ,12.38,0,0,400 MG TABLET,187688
2022-03-13,107,AMIKACIN,23.92 ,19071.00 ,42.81,1,0,100MG/2ML VIAL,777576
2022-03-17,36,ALL-IN-ONE ADMIXTURES,20.19 ,16042.00 ,49.86,0,0,"1,400 KCAL",881744
2022-03-21,161,ALLOPURINOL,41.06 ,11409.00 ,28.33,0,0,100MG TABLET,791246
2022-03-21,64,AMOXICILLIN,9.16 ,18889.00 ,42.37,1,1,500 MG CAPSULE,759303
2022-03-23,140,ARIPIPRAZOLE,30.97 ,12587.00 ,23.85,1,0,15MG TABLET,756789
2022-03-23,241,ASCORBIC ACID,40.57 ,10508.00 ,30.38,0,1,"100MG/5ML, 60ML SYRUP",721058
2022-03-26,230,AZITHROMYCIN,43.93 ,8661.00 ,12.34,0,1,500 MG VIAL,320451
2022-03-29,126,ACETAZOLAMIDE,7.86 ,13605.00 ,7.85,1,1,250MG TABLET,678023
2022-04-03,42,ACETYLCYSTEINE,43.92 ,5103.00 ,24.33,1,0,600MG TABLET,489074
2022-04-05,243,ACICLOVIR,26.43 ,12497.00 ,20.63,1,1,400 MG TABLET,187688
2022-04-11,155,AMIKACIN,46.19 ,11847.00 ,16.12,1,0,100MG/2ML VIAL,777576
2022-04-11,105,ALL-IN-ONE ADMIXTURES,42.98 ,12236.00 ,34.82,1,1,"1,400 KCAL",881744
2022-04-15,219,ALLOPURINOL,20.92 ,5857.00 ,40.55,1,0,100MG TABLET,791246
2022-04-20,166,AMOXICILLIN,16.32 ,6244.00 ,48.58,0,1,500 MG CAPSULE,759303
2022-04-23,163,ARIPIPRAZOLE,26.04 ,10557.00 ,26.67,0,1,15MG TABLET,756789
